,Reward,Running Drop Rate,Running Energy,Running Latency
0,1,0.0,105.00000000000001,0
1,2,0.0,192.5,6
2,3,0.0,280.0,11
3,4,0.0,402.5,16
4,5,0.0,577.5,23
5,6,0.0,682.5,33
6,7,0.0,805.0,39
7,8,0.0,910.0,46
8,9,0.0,911.374,52
9,10,0.0,913.0915,56
10,11,0.0,915.1525,61
11,12,0.0,917.557,67
12,13,0.0,919.2745,74
13,14,0.0,1041.7745,79
14,15,0.0,1146.7745,86
15,16,0.0,1148.8355,92
16,17,0.0,1150.2095,98
17,18,0.0,1152.9575,102
18,19,0.0,1257.9575,110
19,20,0.0,1259.3315,116
20,21,0.0,1261.049,120
21,22,0.0,1262.423,125
22,23,0.0,1263.797,129
23,24,0.0,1351.297,133
24,25,0.0,1438.797,138
25,26,0.0,1543.797,143
26,27,0.0,1631.297,149
27,28,0.0,1718.797,154
28,29,0.0,1721.2015000000001,159
29,30,0.0,1722.919,166
30,31,0.0,1932.919,171
31,32,0.0,2142.9190000000003,183
32,33,0.0,2230.4190000000003,195
33,34,0.0,2317.9190000000003,200
34,35,0.0,2319.293,205
35,36,0.0,2424.293,209
36,37,0.0,2426.6975,215
37,38,0.0,2428.4150000000004,222
38,39,0.0,2533.4150000000004,227
39,40,0.0,2638.4150000000004,233
40,41,0.0,2639.789,239
41,42,0.0,2641.163,243
42,43,0.0,2851.163,247
43,44,0.0,2852.8805,259
44,45,0.0,3080.3805,264
45,46,0.0,3202.8805,277
46,47,0.0,3204.2545,284
47,48,0.0,3396.7545,288
48,49,0.0,3399.5025,299
49,50,0.0,3487.0025,307
50,51,0.0,3489.407,312
51,52,0.0,3492.155,319
52,53,0.0,3597.155,327
53,54,0.0,3598.529,333
54,55,0.0,3703.529,337
55,56,0.0,3705.2465,343
56,57,0.0,3708.338,348
57,58,0.0,3712.8035,357
58,59,0.0,3716.2385,370
59,60,0.0,3718.643,380
60,61,0.0,3720.3605000000002,387
61,62,0.0,3725.5130000000004,392
62,63,0.0,3813.0130000000004,407
63,64,0.0,3814.387,412
64,65,0.0,3817.135,416
65,66,0.0,3819.1960000000004,424
66,65,0.014925373134328358,3819.2011525000003,430
67,66,0.014705882352941176,3821.6056525000004,445
68,67,0.014492753623188406,3822.9796525,452
69,68,0.014285714285714285,3825.7276525,456
70,69,0.014084507042253521,3829.8496525,464
71,70,0.013888888888888888,3917.3496525,476
72,71,0.0136986301369863,4022.3496525,481
73,72,0.013513513513513514,4127.3496525,487
74,73,0.013333333333333334,4232.3496525,493
75,74,0.013157894736842105,4337.3496525,499
76,75,0.012987012987012988,4424.8496525,505
77,76,0.01282051282051282,4512.3496525,510
