,Reward,Running Drop Rate,Running Energy,Running Latency
0,1,0.0,105.00000000000001,0
1,2,0.0,106.37400000000001,6
2,3,0.0,108.09150000000001,10
3,4,0.0,230.59150000000002,15
4,5,0.0,232.99600000000004,22
5,6,0.0,337.99600000000004,29
6,7,0.0,460.49600000000004,35
7,8,0.0,565.4960000000001,42
8,9,0.0,757.9960000000001,48
9,10,0.0,759.3700000000001,59
10,11,0.0,986.8700000000001,63
11,10,0.08333333333333333,1284.3700000000001,76
12,11,0.07692307692307693,1286.7745000000002,93
13,12,0.07142857142857142,1409.2745000000002,100
14,13,0.06666666666666667,1514.2745000000002,107
15,14,0.0625,1724.2745000000002,113
16,15,0.058823529411764705,1829.2745000000002,125
17,16,0.05555555555555555,1934.2745000000002,131
18,17,0.05263157894736842,2039.2745000000002,137
19,16,0.1,2266.7745000000004,143
20,17,0.09523809523809523,2476.7745000000004,156
21,16,0.13636363636363635,2774.2745000000004,168
22,17,0.13043478260869565,2984.2745000000004,185
23,18,0.125,2985.6485000000002,197
24,19,0.12,2987.0225,201
25,20,0.11538461538461539,3197.0225,205
26,21,0.1111111111111111,3198.7400000000002,217
27,22,0.10714285714285714,3286.2400000000002,222
28,23,0.10344827586206896,3287.614,227
29,24,0.1,3497.614,231
30,23,0.12903225806451613,3812.614,243
31,24,0.125,4022.614,261
32,25,0.12121212121212122,4023.988,273
33,26,0.11764705882352941,4025.7055,277
34,27,0.11428571428571428,4027.7665,282
35,28,0.1111111111111111,4132.766500000001,288
36,29,0.10810810810810811,4307.766500000001,294
37,30,0.10526315789473684,4412.766500000001,304
38,31,0.10256410256410256,4622.766500000001,310
39,32,0.1,4727.766500000001,322
40,33,0.0975609756097561,4729.1405,328
41,32,0.11904761904761904,5026.6405,332
42,33,0.11627906976744186,5236.6405,349
43,34,0.11363636363636363,5238.0145,361
44,35,0.1111111111111111,5465.5145,365
45,36,0.10869565217391304,5588.0145,378
46,37,0.10638297872340426,5693.0145,385
47,38,0.10416666666666667,5695.419,391
48,39,0.10204081632653061,5698.1669999999995,398
49,40,0.1,5699.540999999999,406
50,41,0.09803921568627451,5892.040999999999,410
51,42,0.09615384615384616,5894.788999999999,421
52,43,0.09433962264150944,6104.788999999999,429
53,44,0.09259259259259259,6106.162999999999,441
54,45,0.09090909090909091,6211.162999999999,445
55,46,0.08928571428571429,6421.162999999999,451
56,47,0.08771929824561403,6423.910999999998,463
57,46,0.10344827586206896,6668.910999999998,471
58,45,0.11864406779661017,6966.410999999998,485
59,44,0.13333333333333333,7281.410999999998,502
60,45,0.13114754098360656,7508.910999999998,520
61,46,0.12903225806451613,7512.345999999999,533
62,47,0.12698412698412698,7513.719999999998,543
63,48,0.125,7723.719999999998,547
64,49,0.12307692307692308,7725.437499999998,559
65,50,0.12121212121212122,7935.437499999998,564
66,51,0.11940298507462686,8162.937499999998,576
67,52,0.11764705882352941,8164.998499999998,589
68,53,0.11594202898550725,8252.498499999998,595
69,54,0.11428571428571428,8253.872499999998,600
70,55,0.11267605633802817,8256.620499999997,604
71,56,0.1111111111111111,8449.120499999997,612
72,57,0.1095890410958904,8554.120499999997,623
73,56,0.12162162162162163,8781.620499999997,629
74,57,0.12,8886.620499999997,642
75,58,0.11842105263157894,8991.620499999997,648
76,59,0.11688311688311688,8994.024999999998,654
77,60,0.11538461538461539,9186.524999999998,661
78,59,0.12658227848101267,9466.524999999998,672
79,60,0.125,9659.024999999998,688
80,61,0.12345679012345678,9660.398999999998,699
81,62,0.12195121951219512,9870.398999999998,703
82,63,0.12048192771084337,9872.116499999998,715
83,62,0.13095238095238096,10152.116499999998,720
84,63,0.12941176470588237,10153.490499999998,736
85,64,0.12790697674418605,10156.238499999998,740
86,65,0.12643678160919541,10261.238499999998,748
87,66,0.125,10383.738499999998,754
88,67,0.12359550561797752,10593.738499999998,761
89,68,0.12222222222222222,10681.238499999998,773
90,69,0.12087912087912088,10891.238499999998,778
91,70,0.11956521739130435,10892.612499999997,790
92,71,0.11827956989247312,11120.112499999997,794
93,72,0.11702127659574468,11295.112499999997,807
94,73,0.11578947368421053,11400.112499999997,817
